sentence	sentence_id	locale	reason
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	grammar-or-spelling
Og hvad sagde denjeg kan se mig selv	04f0ea898127aec37fc6ac84a3eb5437caa825e8ab4d7a822f028de50a70be04	da	grammar-or-spelling
Patientinddragelsesudvalget består af medlemmer, som er udpeget af patient- og pårørendeorganisationer	013d1e4ee428d393d58009b868fa6a650147d09ae7b8ffd14d3321d73e2f1318	da	grammar-or-spelling
den fornam det ikke, men klokken i menneskets bryst fornemmer sin trange tid.	0e59a16fbba37215375b41798c837b6123bd135f03c78a4e4ee774922aa6a3ec	da	grammar-or-spelling
Det dr er prægtigt	023e3c6791c6d008478c747eabaa251b1109c920ef2aa5e09b33ae1e4334738e	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Må jeg have lov at være i mit eget nu lugter jeg kål	1508c41b7f104ffd4747bc3c55a528b1e26adc46209103e1bc873fa4ebb331ef	da	grammar-or-spelling
Og ville det være ønskeligtpeer besluttede aldrig at gifte sig	0b487656a57b6400e6a7a6aafd0ade8856d347b084397d7d614ce28fc1d942b2	da	grammar-or-spelling
Nu skal du se, hvor vi to godt skal komme ud af det	1c169819fd6866b81e942018528641628e507667fdd00e3f448306b354a1e6a3	da	grammar-or-spelling
Og ville det være ønskeligtpeer besluttede aldrig at gifte sig	0b487656a57b6400e6a7a6aafd0ade8856d347b084397d7d614ce28fc1d942b2	da	grammar-or-spelling
Det dr er prægtigt	023e3c6791c6d008478c747eabaa251b1109c920ef2aa5e09b33ae1e4334738e	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
De små fugle i buskene fr forskrækket i vejret	2a2bc97aafc1f144d2c9d8fda1866b590bdd9c1dd0a26543406900d406fb1903	da	grammar-or-spelling
Den lille havfrue Eventyr	029b568a25a1156d899dd2d6f351e1d551cd459b061bb9988f3a4a26f2a05cca	da	grammar-or-spelling
Ene og viljedvask levede derinde sølle rasmus, som de kaldte ham	22ac00ec10dc432eec797dae35d2fb2ab819d5c105076be0cb9571e1ca9804bf	da	difficult-pronounce
Hvad ville der dog ske både tjenere og frøkener gik og pyntede det	161d98d3ec90190e4fb9d2c0e922cd247a4b1a30fa94faddddf697e22a702b7a	da	difficult-pronounce
Hvad mon der er på færde hør, hvor det summer	3464bcfe38d53f00feb91a48cab8cc8aa4233a7a04811a0a1a9f426e4473c494	da	grammar-or-spelling
Hvad mon der er på færde hør, hvor det summer	3464bcfe38d53f00feb91a48cab8cc8aa4233a7a04811a0a1a9f426e4473c494	da	difficult-pronounce
er end min bøn til Gud	02abf7a09b98af18f57da3dcca861487bc2e50554d087a1f6c0565283ade70aa	da	difficult-pronounce
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
justitsråden løb det iskoldt ned af ryggen.	2c075b25da1278e9199611d91d3b6854d411f4a897f4c9254a7aec0af4707a5a	da	grammar-or-spelling
Men hvilken af demdet skal jeg få at vide	1d44483adcb080a968fec8347ed87f0bd755a56a2d4e3a4601b28b9c27ec9731	da	grammar-or-spelling
Siden tog jeg palle dyre	2b72205cee1c69399570c5e11626184dc532f5bde3a43f50e575c0cbeb950bf3	da	grammar-or-spelling
Snedronningen eventyret eventyr af hans christian andersen h	3285e1fcf9e33dd1554cf6fd67ef38fabce269c5040f70650baec8c7265b984e	da	grammar-or-spelling
Lørdag trådte op som gammel husholderske med kost og renselses-attribut	074055d0910ab6a2a6081ead4cb1bd7db7b0f8dcb356790de08b1b88a94ee133	da	grammar-or-spelling
